instance simeonsSolver 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-10.col 0.0 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-11.col 0.03 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-12.col 0.03 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-13.col 0.01 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-14.col 0.02 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-15.col 0.05 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-4.col 0.01 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-5.col 0.0 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-6.col 0.0 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-7.col 0.01 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-8.col 0.01 
/home/simeon/Simeon/Studium/D-INF-4/Forschungslinie/hamilton/Hamiltonv2/HamiltonianCycleCompetition-Environment-SS2015/environment/graphs/hc-9.col 0.01 
